Найменування,Марка,Модель,Модифікація,Рік,Артикул,Тип электро-проводки,Горизонтальне навантаження,Вертикальне навантаження,Вага фаркопу,Знімання бамперу,Підрізання бамперу,"Роздрібна ціна, EUR",Категория,Схема 
Фаркоп Auto-Hak для автомобіля OPEL MOVANO  з 2010 G67,OPEL,MOVANO ,"Фургон,
спарені колеса, довгий",з 2010,G67,звичайна електрика,3000,100,"19,4",ні,ні,156,фаркоп,https://i.postimg.cc/yxmKN5WQ/G67.jpg
Фаркоп Auto-Hak для автомобіля RENAULT MASTER з 2010 G67,RENAULT,MASTER,"Фургон,
спарені колеса, довгий",з 2010,G67,звичайна електрика,3000,100,"19,4",ні,ні,156,фаркоп,https://i.postimg.cc/yxmKN5WQ/G67.jpg
Фаркоп Auto-Hak для автомобіля RENAULT FLUENCE з 2009 G68,RENAULT,FLUENCE,4 двер.,з 2009,G68,звичайна електрика,1300,75,"18,6",так,так,138,фаркоп,https://i.postimg.cc/fWmD535c/G68.jpg
Фаркоп Auto-Hak для автомобіля OPEL MOVANO  грузовий з 2010 G70,OPEL,MOVANO ,грузовий -  спарені колеса,з 2010,G70,звичайна електрика,3500,120,"24,4",ні,ні,155,фаркоп,https://i.postimg.cc/SN0xcnY9/G70.png
Фаркоп Auto-Hak для автомобіля RENAULT MASTER  з 2010 G70,RENAULT,MASTER,грузовий -  спарені колеса,з 2010,G70,звичайна електрика,3500,120,"24,4",ні,ні,155,фаркоп,https://i.postimg.cc/SN0xcnY9/G70.png
Фаркоп Auto-Hak для автомобіля DACIA SANDERO  з 2013 G75,DACIA,SANDERO,,з 2013,G75,звичайна електрика,1100,75,"16,5",так,так,87,фаркоп,https://i.postimg.cc/44H3K6yZ/G75.png
Фаркоп Auto-Hak для автомобіля DACIA SANDERO STEPWAY  з 2013 G77,DACIA,SANDERO STEPWAY,,з 2013,G77,модуль узгодження,1100,75,"16,1",так,так,122,фаркоп,https://i.postimg.cc/ZnNY1S20/G77.png
Фаркоп Auto-Hak для автомобіля DACIA LOGAN 4 двер. з 2013 G78,DACIA,LOGAN,4 двер.,з 2013,G78,модуль узгодження,1100,75,15,ні,ні,108,фаркоп,https://i.postimg.cc/76dYs6Bp/G78.png
Фаркоп Auto-Hak для автомобіля RENAULT CAPTUR  з 2013 G79,RENAULT,CAPTUR,,з 2013,G79,звичайна електрика,1200,75,"17,1",ні,ні,95,фаркоп,https://i.postimg.cc/Xv2v5x9N/G79.png
Фаркоп Auto-Hak для автомобіля DACIA LOGAN Kombi з 2013 G81,DACIA,LOGAN,Kombi,з 2013,G81,модуль узгодження,1300,75,"18,3",ні,так,136,фаркоп,https://i.postimg.cc/g2WrbxYp/G81.png
Фаркоп Auto-Hak для автомобіля RENAULT KADJAR  з 2015 G84,RENAULT,KADJAR,,з 2015,G84,модуль узгодження,2000,75,25,ні,ні,161,фаркоп,https://i.postimg.cc/ZYQT4Cxg/G84.png
Фаркоп Auto-Hak для автомобіля RENAULT ESPACE  з 2015 G85,RENAULT,ESPACE,"5 doors, VAN",з 2015,G85,модуль узгодження,2000,80,24,так,ні,180,фаркоп,https://i.postimg.cc/ncshDvLp/G85.png
Фаркоп Auto-Hak для автомобіля RENAULT TALISMAN  з 2015 G86,RENAULT,TALISMAN,,з 2015,G86,модуль узгодження,2000,80,22,так,ні,144,фаркоп,https://i.postimg.cc/66M8RWLL/G86.png
Фаркоп Auto-Hak для автомобіля OPEL MOVANO  з 2010 G90,OPEL,MOVANO ,"L2, L3, L4 Maxi, фургон, FWD and RWD",з 2010,G90,звичайна електрика,3000,100,23,ні,ні,172,фаркоп,https://i.postimg.cc/qRXCW239/G90.png
Фаркоп Auto-Hak для автомобіля RENAULT MASTER з 2010 G90,RENAULT,MASTER,"L2, L3, L4 Maxi, фургон, FWD and RWD",з 2010,G90,звичайна електрика,3000,100,23,ні,ні,172,фаркоп,https://i.postimg.cc/qRXCW239/G90.png
Фаркоп Auto-Hak для автомобіля NISSAN X-TRAIL  з 2017 G94,NISSAN,X-TRAIL,,з 2017,G94,модуль узгодження,2000,100,"25,4",так,так,193,фаркоп,https://i.postimg.cc/xdNvpkg2/G94.png
Фаркоп Auto-Hak для автомобіля RENAULT KOLEOS II  з 2017 G94,RENAULT,KOLEOS II,,з 2017,G94,модуль узгодження,2000,100,"25,4",так,ні,193,фаркоп,https://i.postimg.cc/xdNvpkg2/G94.png
Фаркоп Auto-Hak для автомобіля DACIA DUSTER III з 2017 G95,DACIA,DUSTER III,"SUV, 2 WD, 4WD",з 2017,G95,модуль узгодження,1500,75,17,так,ні,142,фаркоп,https://i.postimg.cc/9MTB04qp/G95.png
Фаркоп Auto-Hak для автомобіля SKODA OCTAVIA II  2004-2013 H14,SKODA,OCTAVIA II,"5 двер., Kombi, 4x4",2004-2013,H14,модуль узгодження,1800,100,"14,9",так,так,115,фаркоп,https://i.postimg.cc/Fsvm69n2/H14.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SKODA OCTAVIA II  2004-2013 H14A,SKODA,OCTAVIA II,"5 двер., Kombi, 4x4",2004-2013,H14A,модуль узгодження,1800,100,"15,9",так,так,151,фаркоп,https://i.postimg.cc/fbfFLrny/H14A.png
Фаркоп Auto-Hak для автомобіля SKODA YETI з 2009 H18,SKODA,YETI,5 двер.,з 2009,H18,модуль узгодження,2000,80,"13,7",так,так,107,фаркоп,https://i.postimg.cc/Kv5FSd64/H18.png
Фаркоп Auto-Hak для автомобіля SKODA RAPID  з 2012 H19,SKODA,RAPID,,з 2012,H19,модуль узгодження,1300,75,"14,9",так,так,120,фаркоп,https://i.postimg.cc/MG0kBGRW/H19.png
Фаркоп Auto-Hak для автомобіля SKODA YETI з 2014 H22,SKODA,YETI,5 двер.,з 2014,H22,модуль узгодження,2000,80,"14,1",так,так,110,фаркоп,https://i.postimg.cc/Znw4d5G9/H22.png
Фаркоп Auto-Hak для автомобіля SKODA FABIA з 2014 H24,SKODA,FABIA,5 двер.,з 2014,H24,модуль узгодження,1200,75,"14,7",так,так,100,фаркоп,https://i.postimg.cc/cCB65WVZ/H24.png
Фаркоп Auto-Hak для автомобіля SKODA FABIA III Kombi з 2015 H25,SKODA,FABIA III,Kombi,з 2015,H25,модуль узгодження,1200,75,"14,7",так,так,115,фаркоп,https://i.postimg.cc/jqPf703M/H25.png
Фаркоп Auto-Hak для автомобіля SKODA OCTAVIA III  Scout з 2013 H26,SKODA,OCTAVIA III  Scout,Scout,з 2013,H26,модуль узгодження,1800,100,"13,8",так,так,115,фаркоп,https://i.postimg.cc/tg4d3SnY/H26.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SKODA KODIAQ  з 2017 H28V,SKODA,KODIAQ,,з 2017,H28V,модуль узгодження,2500,140,"18,7",так,так,290,фаркоп,https://i.postimg.cc/vmYhP8k8/H28V.png
Фаркоп Auto-Hak для автомобіля SKODA KAROQ  з 2017 H29,SKODA,KAROQ,,з 2017,H29,модуль узгодження,2000,90,"16,9",ні,так,142,фаркоп,https://i.postimg.cc/s2jBSkWh/H29.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SKODA KAROQ  з 2017 H29V,SKODA,KAROQ ,,з 2017,H29V,модуль узгодження,2000,90,19,ні,так,306,фаркоп,https://i.postimg.cc/qqPh3gcJ/H29V.png
Фаркоп Auto-Hak для автомобіля HYUNDAI SANTA  FE з 2006 J54,HYUNDAI,SANTA  FE,5 двер.,з 2006,J54,звичайна електрика,2700,100,"19,4",так,так,148,фаркоп,https://i.postimg.cc/T3YxRtx0/J54.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля HYUNDAI SANTA  FE  з 2006 J54A,HYUNDAI,SANTA  FE,5 двер.,з 2006,J54A,звичайна електрика,2700,100,"20,4",так,так,180,фаркоп,https://i.postimg.cc/MpPSX1KS/j54a.jpg
Фаркоп Auto-Hak швидко-з'ємний для автомобіля HYUNDAI IX 35   з 2010 J60V,HYUNDAI,IX 35    ,5 двер.,з 2010,J60V,звичайна електрика,2000,80,"16,5",ні,так,265,фаркоп,https://i.postimg.cc/mrPG9htF/J60V.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля KIA SPORTAGE    2010-2016 J60V,KIA,SPORTAGE   ,"5 двер., 4 WD",2010-2016,J60V,модуль узгодження,2000,80,"16,5",ні,так,265,фаркоп,https://i.postimg.cc/mrPG9htF/J60V.png
Фаркоп Auto-Hak для автомобіля HYUNDAI SANTA  FE (тільки Дизель)  2012-2018 J68,HYUNDAI,SANTA  FE (тільки Дизель),5 двер.,2012-2018,J68,модуль узгодження,2500,100,20,так,так,132,фаркоп,https://i.postimg.cc/437rdMS6/j68.jpg
Фаркоп Auto-Hak для автомобіля HYUNDAI TUCSON  2015-2018 J71,HYUNDAI,TUCSON,5 двер.,2015-2018,J71,модуль узгодження,2200,100,"21,3",ні,ні,168,фаркоп,https://i.postimg.cc/QxYYRD8X/J71.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля HYUNDAI TUCSON 2015-2018 J71A,HYUNDAI,TUCSON,5 двер.,2015-2018,J71A,модуль узгодження,2200,100,22,ні,ні,215,фаркоп,https://i.postimg.cc/7ZccTkdB/J71A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля HYUNDAI TUCSON 2015-2018 J71V,HYUNDAI,TUCSON,5 двер.,2015-2018,J71V,модуль узгодження,2200,100,22,ні,ні,290,фаркоп,https://i.postimg.cc/3R2PTcLt/J71V.png
Фаркоп Auto-Hak для автомобіля HYUNDAI TUCSON  з 2018 J80,HYUNDAI,TUCSON,5 двер.,з 2018,J80,модуль узгодження,2200,100,"22,8",так,ні,165,фаркоп,https://i.postimg.cc/Gmc3Skp0/J80.png
Фаркоп Auto-Hak для автомобіля HYUNDAI SANTA  FE  з 2018 J81,HYUNDAI,SANTA  FE,,з 2018,J81,модуль узгодження,2500,100,"23,4",ні,ні,176,фаркоп,https://i.postimg.cc/wvb91P5g/J81.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля HYUNDAI SANTA  FE  з 2018 J81V,HYUNDAI,SANTA  FE ,,з 2018,J81V,модуль узгодження,2500,100,"25,4",ні,ні,326,фаркоп,https://i.postimg.cc/Y9XC1j7c/J81V.png
Фаркоп Auto-Hak для автомобіля JEEP COMMANDER кузов (XH) 2006-2011 JP06,JEEP,COMMANDER,кузов (XH),2006-2011,JP06,звичайна електрика,3500,140,"9,3",так,так,90,фаркоп,https://i.postimg.cc/26nMdWm3/JP06.png
Фаркоп Auto-Hak для автомобіля JEEP CHEROKEE кузов KL з 2014 JP11,JEEP,CHEROKEE,кузов KL,з 2014,JP11,модуль узгодження,2500,150,"21,4",так,так,151,фаркоп,https://i.postimg.cc/VvG0LDvC/JP11.png
"Фаркоп Auto-Hak для автомобіля VOLKSWAGEN T 5, T 6 TRANSPORTER , MULTIVAN з 2003 K42",VOLKSWAGEN,"T 5, T 6","TRANSPORTER , MULTIVAN",з 2003,K42,модуль узгодження,2800,120,"13,9",так,ні,138,фаркоп,https://i.postimg.cc/HnHK6Lsz/K42.png
"Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN T 5, T 6 TRANSPORTER , MULTIVAN з 2003 K42A",VOLKSWAGEN,"T 5, T 6","TRANSPORTER , MULTIVAN",з 2003,K42A,модуль узгодження,2800,120,"14,9",так,ні,176,фаркоп,https://i.postimg.cc/j2X1mrDb/K42A.png
"Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN T 5, T 6 TRANSPORTER , MULTIVAN з 2003 K42V",VOLKSWAGEN,"T 5, T 6","TRANSPORTER , MULTIVAN",з 2004,K42V,модуль узгодження,2800,120,"14,9",так,ні,270,фаркоп,https://i.postimg.cc/y6PFbT1B/K42V.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN CADDY  з 2004 K45A,VOLKSWAGEN,CADDY,,з 2004,K45A,модуль узгодження,1650,80,"19,6",так,ні,185,фаркоп,https://i.postimg.cc/3RQgPS0r/K45A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN CADDY  з 2004 K45V,VOLKSWAGEN,CADDY,,з 2004,K45V,модуль узгодження,1650,80,"19,6",так,ні,260,фаркоп,https://i.postimg.cc/SsYvGvFy/K45V.png
Фаркоп Auto-Hak для автомобіля PORSCHE CAYENNE 2003-2010 K46,PORSCHE,CAYENNE,5 двер.,2003-2010,K46,модуль узгодження,3500,140,"22,1",так,так,205,фаркоп,https://i.postimg.cc/2S3tcMms/K46.png
Фаркоп Auto-Hak для автомобіля VOLKSWAGEN TOUAREG 2003-2018 K46,VOLKSWAGEN,TOUAREG,5 двер.,2003-2018,K46,модуль узгодження,3500,140,"22,1",так,так,205,фаркоп,https://i.postimg.cc/2S3tcMms/K46.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля PORSCHE CAYENNE 2003-2010 K46A,PORSCHE,CAYENNE,5 двер.,2003-2010,K46A,модуль узгодження,3500,140,"23,1",так,так,249,фаркоп,https://i.postimg.cc/7hTmgGzb/K46A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN TOUAREG  2003-2018 K46A,VOLKSWAGEN,TOUAREG,5 двер.,2003-2018,K46A,модуль узгодження,3500,140,"23,1",так,так,249,фаркоп,https://i.postimg.cc/7hTmgGzb/K46A.png
Фаркоп Auto-Hak для автомобіля VOLKSWAGEN JETTA   2005-2010 K49,VOLKSWAGEN,JETTA ,4 двер.,2005-2010,K49,модуль узгодження,1800,100,"15,6",так,так,102,фаркоп,https://i.postimg.cc/nzKS9tYD/K49.png
Фаркоп Auto-Hak для автомобіля VOLKSWAGEN AMAROK  з 2010 K55,VOLKSWAGEN,AMAROK,,з 2010,K55,модуль узгодження,2800,120,"5,8",ні,ні,105,фаркоп,https://i.postimg.cc/tJ2rDtcR/k55.jpg
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN JETTA   з 2011 K56V,VOLKSWAGEN,JETTA ,"4двер., крім 4х4, крім Hybrid",з 2011,K56V,модуль узгодження,1800,75,"16,9",так,так,246,фаркоп,https://i.postimg.cc/Y0pn1yby/K56V.jpg
Фаркоп Auto-Hak для автомобіля VOLKSWAGEN TIGUAN  з 2016 K66,VOLKSWAGEN,TIGUAN,"5 двер., VAN",з 2016,K66,модуль узгодження,2500,140,"17,6",так,ні,150,фаркоп,https://i.postimg.cc/cCjPWGRt/K66.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN TIGUAN з 2016 K66A,VOLKSWAGEN,TIGUAN,"5 двер., VAN",з 2016,K66A,модуль узгодження,2500,140,"18,1",так,ні,200,фаркоп,https://i.postimg.cc/gJzCqDcj/K66A.png
Фаркоп Auto-Hak для автомобіля VOLKSWAGEN ARTEON  з 2017 K70,VOLKSWAGEN,ARTEON,,з 2017,K70,модуль узгодження,2200,100,"16,6",так,так,147,фаркоп,https://i.postimg.cc/zGWYJvPz/K70.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN ARTEON  з 2017 K70V,VOLKSWAGEN,ARTEON,,з 2017,K70V,модуль узгодження,2200,100,"16,6",так,так,288,фаркоп,https://i.postimg.cc/hPNqWTsZ/K70V.png
Фаркоп Auto-Hak для автомобіля VOLKSWAGEN CRAFTER  II  з 2016 K73,VOLKSWAGEN,"CRAFTER  II   L3, L4","3,640/4,490m, FWD, 1к., з підножкою",з 2016,K73,модуль узгодження,3500,150,"32,2",ні,так,268,фаркоп,https://i.postimg.cc/7Y5yWm3T/K73.png
Фаркоп Auto-Hak для автомобіля VOLKSWAGEN TOUAREG     з 2018 K74,VOLKSWAGEN,TOUAREG   ,,з 2018,K74,модуль узгодження,3500,140,"20,9",так,так,205,фаркоп,https://i.postimg.cc/wxfp2Smp/K74.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN TOUAREG     з 2018 K74A,VOLKSWAGEN,TOUAREG,,з 2018,K74A,модуль узгодження,3500,140,21,так,так,265,фаркоп,https://i.postimg.cc/J02ChkLn/K74A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLKSWAGEN TOUAREG     з 2018 K74V,VOLKSWAGEN,TOUAREG  ,,з 2018,K74V,модуль узгодження,3500,140,21,так,так,382,фаркоп,https://i.postimg.cc/RhFz9T2y/K74V.png
Фаркоп Auto-Hak для автомобіля VOLVO XC 90  2003-2015 L18,VOLVO,XC 90,5 двер.,2003-2015,L18,модуль узгодження,2250,140,"18,5",так,так,145,фаркоп,https://i.postimg.cc/sfc0Vs2F/L18.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля VOLVO XC 90  2003-2015 L18A,VOLVO,XC 90,5 двер.,2003-2015,L18A,модуль узгодження,2250,140,"19,5",так,так,188,фаркоп,https://i.postimg.cc/XJnb1WLV/L18A.png
